StudyHours,Attendance,PreviousScore,AssignmentsCompleted,SleepHours,FinalResult
2.0,65,45,3,5,0
3.0,70,50,4,6,0
4.0,75,55,5,6,0
5.0,80,60,6,7,1
6.0,85,65,7,7,1
7.0,90,70,8,8,1
8.0,92,75,9,8,1
1.0,60,40,2,5,0
2.5,68,48,3,6,0
3.5,72,52,4,6,0
4.5,78,58,5,7,1
5.5,82,63,6,7,1
6.5,88,68,7,8,1
7.5,93,74,8,8,1
8.5,95,80,9,8,1
1.5,62,42,2,5,0
2.2,67,47,3,6,0
3.8,74,53,4,6,0
4.8,79,59,5,7,1
5.8,83,64,6,7,1
6.8,89,69,7,8,1
7.8,94,76,8,8,1
2.1,66,46,3,5,0
3.2,71,51,4,6,0
4.2,76,56,5,6,1
5.2,81,61,6,7,1
6.2,87,66,7,7,1
7.2,91,72,8,8,1
8.2,96,78,9,8,1
1.8,63,44,2,5,0
5.0,82,60,6,4,0
3.0,85,70,5,7,1
6.0,70,55,4,5,0
2.5,90,75,6,8,1
7.0,65,60,7,6,0
4.0,88,72,5,6,1
3.0,60,50,4,4,0
4.0,85,72,6,8,1
6.0,75,62,5,5,0
2.0,88,70,6,7,1
7.5,70,60,7,5,0
5.5,78,65,6,6,1
1.5,92,80,8,8,1
8.0,68,58,6,5,0
4.5,90,75,7,7,1
6.5,72,60,5,5,0
2.8,74,52,4,6,0
5.8,86,68,7,7,1
3.6,82,64,6,6,1
7.2,69,59,5,4,0
4.2,91,78,8,8,1
1.9,58,40,2,4,0
6.8,84,70,7,6,1
3.1,77,55,5,6,0
5.9,89,73,8,7,1
2.4,80,60,6,7,1
7.9,73,61,5,5,0
4.7,87,74,7,7,1
6.1,66,54,4,4,0
8.3,94,82,9,8,1
3.3,69,49,3,5,0
5.3,83,67,6,6,1
2.7,76,53,4,6,0
7.4,92,77,8,8,1
4.9,71,58,5,5,0
6.7,88,71,7,7,1
1.2,55,38,2,4,0
8.6,97,85,9,8,1
3.9,79,57,5,6,0
5.1,84,66,6,6,1
2.3,81,63,6,7,1
7.1,67,55,4,4,0
4.3,89,76,8,8,1
6.4,73,59,5,5,0
3.7,90,78,8,7,1
5.6,70,60,5,5,0
